scientific_name,latitude,longitude,url,image_url,observed_on,phenology,year,month
Yucca brevifolia,34.028706,-116.022105,https://www.inaturalist.org/observations/331971432,https://static.inaturalist.org/photos/602352793/medium.jpg,2008-03-17,Flowering,2008,3
Yucca brevifolia,34.1999038719,-116.4897573367,https://www.inaturalist.org/observations/114881910,https://static.inaturalist.org/photos/193932477/medium.jpeg,2008-03-24,Flowering,2008,3
Yucca jaegeriana,35.2396380478,-115.3007090092,https://www.inaturalist.org/observations/7942182,https://inaturalist-open-data.s3.amazonaws.com/photos/10489068/medium.jpg,2008-03-25,Flowering,2008,3
Yucca jaegeriana,35.7853513065,-114.1040039063,https://www.inaturalist.org/observations/6861442,https://inaturalist-open-data.s3.amazonaws.com/photos/8745392/medium.jpg,2008-03-29,Flowering,2008,3
Yucca brevifolia,34.0604736103,-116.2290641549,https://www.inaturalist.org/observations/182672603,https://inaturalist-open-data.s3.amazonaws.com/photos/318543480/medium.jpg,2008-05-04,Fruiting,2008,5
Yucca brevifolia,34.061406719,-116.2264507101,https://www.inaturalist.org/observations/134027287,https://static.inaturalist.org/photos/228385943/medium.jpeg,2008-11-15,Fruiting,2008,11
Yucca brevifolia,35.3821813,-118.1131292,https://www.inaturalist.org/observations/70337671,https://static.inaturalist.org/photos/114323386/medium.jpg,2008-06-01,Fruiting,2008,6
Yucca jaegeriana,36.1056264999,-115.4089736938,https://www.inaturalist.org/observations/5488396,https://inaturalist-open-data.s3.amazonaws.com/photos/6761002/medium.jpeg,2008-06-08,Fruiting,2008,6
Yucca jaegeriana,35.3159907683,-115.5495898465,https://www.inaturalist.org/observations/336001463,https://inaturalist-open-data.s3.amazonaws.com/photos/610494179/medium.jpg,2008-11-27,No Evidence of Flowering,2008,11
Yucca brevifolia,34.0541971095,-116.3966244118,https://www.inaturalist.org/observations/318135146,https://inaturalist-open-data.s3.amazonaws.com/photos/574942182/medium.jpg,2008-12-31,No Evidence of Flowering,2008,12
Yucca brevifolia,34.0473398016,-116.2425293573,https://www.inaturalist.org/observations/241035973,https://inaturalist-open-data.s3.amazonaws.com/photos/429521980/medium.jpeg,2008-05-14,No Evidence of Flowering,2008,5
Yucca brevifolia,34.059529,-116.562268,https://www.inaturalist.org/observations/228527953,https://inaturalist-open-data.s3.amazonaws.com/photos/405539511/medium.jpg,2008-06-06,No Evidence of Flowering,2008,6
Yucca jaegeriana,36.064893527,-115.4765128071,https://www.inaturalist.org/observations/170366425,https://inaturalist-open-data.s3.amazonaws.com/photos/295470474/medium.jpg,2008-10-18,No Evidence of Flowering,2008,10
Yucca jaegeriana,36.1140424633,-115.4698998821,https://www.inaturalist.org/observations/170366424,https://inaturalist-open-data.s3.amazonaws.com/photos/295470457/medium.jpg,2008-10-18,No Evidence of Flowering,2008,10
Yucca jaegeriana,36.078166193,-115.5279436276,https://www.inaturalist.org/observations/170366423,https://inaturalist-open-data.s3.amazonaws.com/photos/295470442/medium.jpg,2008-10-18,No Evidence of Flowering,2008,10
Yucca brevifolia,34.2399987842,-116.4670461578,https://www.inaturalist.org/observations/153179014,https://inaturalist-open-data.s3.amazonaws.com/photos/264533058/medium.jpg,2008-04-26,No Evidence of Flowering,2008,4
Yucca brevifolia,33.951372967,-116.1753606144,https://www.inaturalist.org/observations/143654625,https://inaturalist-open-data.s3.amazonaws.com/photos/246302596/medium.jpeg,2008-09-12,No Evidence of Flowering,2008,9
Yucca brevifolia,35.373077,-117.994472,https://www.inaturalist.org/observations/104130834,https://inaturalist-open-data.s3.amazonaws.com/photos/174447146/medium.jpg,2008-05-17,No Evidence of Flowering,2008,5
Yucca jaegeriana,35.0109904037,-115.4733550921,https://www.inaturalist.org/observations/66629855,https://static.inaturalist.org/photos/107454596/medium.jpeg,2008-08-25,No Evidence of Flowering,2008,8
Yucca brevifolia,35.0053317096,-117.0354920117,https://www.inaturalist.org/observations/21292425,https://inaturalist-open-data.s3.amazonaws.com/photos/32923506/medium.jpg,2008-12-31,No Evidence of Flowering,2008,12
Yucca brevifolia,36.3782255149,-117.6022365623,https://www.inaturalist.org/observations/20967112,https://inaturalist-open-data.s3.amazonaws.com/photos/32373636/medium.jpeg,2008-12-31,No Evidence of Flowering,2008,12
Yucca brevifolia,34.6220852687,-118.1307171635,https://www.inaturalist.org/observations/9982387,https://static.inaturalist.org/photos/13718953/medium.jpg,2008-12-12,No Evidence of Flowering,2008,12
